Series Description,4-week Treasury bill secondary market rate   discount basis,,,,
Unit:,Percent:_Per_Year,,,,
Multiplier:,1,,,,
Currency:,NA,,,,
Unique Identifier: ,H15/H15/RIFSGFSW04_N.M,,,,
Time Period,RIFSGFSW04_N.M,,,,
2016-02,0.25,0.25,1200,0.0208%,
2016-01,0.22,0.22,,0.0183%,
2015-12,0.17,0.17,,0.0142%,
2015-11,0.07,0.07,,0.0058%,
2015-10,0.01,0.01,,0.0008%,
2015-09,0,0,,0.0000%,
2015-08,0.03,0.03,,0.0025%,
2015-07,0.03,0.03,,0.0025%,
2015-06,0,0,,0.0000%,
2015-05,0.01,0.01,,0.0008%,
2015-04,0.02,0.02,,0.0017%,
2015-03,0.02,0.02,,0.0017%,
2015-02,0.02,0.02,,0.0017%,
2015-01,0.02,0.02,,0.0017%,
2014-12,0.03,0.03,,0.0025%,
2014-11,0.04,0.04,,0.0033%,
2014-10,0.02,0.02,,0.0017%,
2014-09,0.01,0.01,,0.0008%,
2014-08,0.03,0.03,,0.0025%,
2014-07,0.02,0.02,,0.0017%,
2014-06,0.02,0.02,,0.0017%,
2014-05,0.03,0.03,,0.0025%,
2014-04,0.02,0.02,,0.0017%,
2014-03,0.05,0.05,,0.0042%,
2014-02,0.05,0.05,,0.0042%,
2014-01,0.02,0.02,,0.0017%,
2013-12,0.02,0.02,,0.0017%,
2013-11,0.05,0.05,,0.0042%,
2013-10,0.11,0.11,,0.0092%,
2013-09,0.02,0.02,,0.0017%,
2013-08,0.04,0.04,,0.0033%,
2013-07,0.02,0.02,,0.0017%,
2013-06,0.03,0.03,,0.0025%,
2013-05,0.02,0.02,,0.0017%,
2013-04,0.05,0.05,,0.0042%,
2013-03,0.08,0.08,,0.0067%,
2013-02,0.08,0.08,,0.0067%,
2013-01,0.05,0.05,,0.0042%,
2012-12,0.04,0.04,,0.0033%,
2012-11,0.13,0.13,,0.0108%,
2012-10,0.11,0.11,,0.0092%,
2012-09,0.07,0.07,,0.0058%,
2012-08,0.09,0.09,,0.0075%,
2012-07,0.07,0.07,,0.0058%,
2012-06,0.05,0.05,,0.0042%,
2012-05,0.07,0.07,,0.0058%,
2012-04,0.07,0.07,,0.0058%,
2012-03,0.06,0.06,,0.0050%,
2012-02,0.06,0.06,,0.0050%,
2012-01,0.02,0.02,,0.0017%,
2011-12,0,0,,0.0000%,
2011-11,0.01,0.01,,0.0008%,
2011-10,0.01,0.01,,0.0008%,
2011-09,0,0,,0.0000%,
2011-08,0.02,0.02,,0.0017%,
2011-07,0.04,0.04,,0.0033%,
2011-06,0.02,0.02,,0.0017%,
2011-05,0.02,0.02,,0.0017%,
2011-04,0.03,0.03,,0.0025%,
2011-03,0.06,0.06,,0.0050%,
2011-02,0.11,0.11,,0.0092%,
2011-01,0.14,0.14,,0.0117%,
2010-12,0.08,0.08,,0.0067%,
2010-11,0.13,0.13,,0.0108%,
2010-10,0.14,0.14,,0.0117%,
2010-09,0.12,0.12,,0.0100%,
2010-08,0.15,0.15,,0.0125%,
2010-07,0.16,0.16,,0.0133%,
2010-06,0.08,0.08,,0.0067%,
2010-05,0.15,0.15,,0.0125%,
2010-04,0.15,0.15,,0.0125%,
2010-03,0.11,0.11,,0.0092%,
2010-02,0.06,0.06,,0.0050%,
2010-01,0.02,0.02,,0.0017%,
2009-12,0.03,0.03,,0.0025%,
2009-11,0.05,0.05,,0.0042%,
2009-10,0.04,0.04,,0.0033%,
2009-09,0.06,0.06,,0.0050%,
2009-08,0.12,0.12,,0.0100%,
2009-07,0.15,0.15,,0.0125%,
2009-06,0.1,0.1,,0.0083%,
2009-05,0.14,0.14,,0.0117%,
2009-04,0.09,0.09,,0.0075%,
2009-03,0.1,0.1,,0.0083%,
2009-02,0.22,0.22,,0.0183%,
2009-01,0.05,0.05,,0.0042%,
2008-12,0.03,0.03,,0.0025%,
2008-11,0.09,0.09,,0.0075%,
2008-10,0.26,0.26,,0.0217%,
2008-09,0.86,0.86,,0.0717%,
2008-08,1.65,1.65,,0.1375%,
2008-07,1.58,1.58,,0.1317%,
2008-06,1.69,1.69,,0.1408%,
2008-05,1.73,1.73,,0.1442%,
2008-04,1.04,1.04,,0.0867%,
2008-03,1.34,1.34,,0.1117%,
2008-02,2.23,2.23,,0.1858%,
2008-01,2.68,2.68,,0.2233%,
2007-12,2.79,2.79,,0.2325%,
